Characters,Locations,Situations,Problems,Jobs
Ted Kord,,,,
Tempest,,,,
Terry Sloane,,,,
Tim Drake,,,,
Vixen,,,,
Wally West,,,,
Wesley Dodds,,,,
Wildcat,,,,
Wonder Woman,,,,
Zatanna,,,,
Magneto,,,,
Joker,,,,
Doctor Doom,,,,
Lex Luthor,,,,
Galactus,,,,
Darkseid,,,,
Ra's al Ghul,,,,
Loki,,,,
Kingpin,,,,
Catwoman,,,,
Two-Face,,,,
Norman Osborn,,,,
Red Skull,,,,
Sinestro,,,,
Black Adam,,,,
Brainiac,,,,
Mystique,,,,
Juggernaut,,,,
Bullseye,,,,
Ozymandias,,,,
Venom,,,,
Ultron,,,,
Apocalypse,,,,
Bizarro,,,,
Kid Marvelman,,,,
Captain Cold,,,,
Doctor Octopus,,,,
Mr. Sinister,,,,
General Zod,,,,
Eobard Thawne,,,,
Deathstroke,,,,
Cyborg Superman,,,,
Bane,,,,
Gorilla Grodd,,,,
Vandal Savage,,,,
Zoom,,,,
Sentinels,,,,
Shredder,,,,
Baron Helmut Zemo,,,,
Mongul,,,,
Talia al Ghul,,,,
Deadshot,,,,
Harley Quinn,,,,
Doomsday,,,,
Thanos,,,,
Mephisto,,,,
Anti-Monitor,,,,
Cassandra Nova,,,,
Penguin,,,,
Metallo,,,,
Kraven the Hunter,,,,
Abomination,,,,
Sebastian Shaw,,,,
Dormammu,,,,
Hobgoblin (Kingsley),,,,
Scarecrow,,,,
Riddler,,,,
Amanda Waller,,,,
Parasite,,,,
Lizard,,,,
Leader,,,,
Poison Ivy,,,,
Kang,,,,
Herr Starr,,,,
Mr. Freeze,,,,
Lucifer Morningstar,,,,
Cheetah (Minerva),,,,
William Stryker,,,,
Thunderbolt Ross,,,,
Sandman,,,,
Clayface (Karlo),,,,
Saint of Killers,,,,
Magog,,,,
Mr. Mxyzptlk,,,,
Proteus,,,,
Lady Deathstrike,,,,
Mirror Master (McCulloch),,,,
Prometheus,,,,
Mandarin,,,,
Dr. Sivana,,,,
Grigori Rasputin,,,,
Arthur Light,,,,
Mysterio,,,,
The Governor,,,,
Electro,,,,
Hunter Rose,,,,
Shade,,,,
Carnage,,,,
Parallax,,,,
Omni-Man,,,,
Annihilus,,,,
Omega Red,,,,
Despero,,,,
Violator,,,,
Mastermind,,,,
Fin Fang Foom,,,,
M.O.D.O.K.,,,,
Moonstar,,,,
Banshee,,,,
Justice,,,,
Blink,,,,
Genis-Vell,,,,
Polaris,,,,
Harry Osborn,,,,
Spider-Man 2099,,,,
Noh-Varr,,,,
Warlock,,,,
Wolfsbane,,,,
Aunt May,,,,
Valkyrie,,,,
Bishop,,,,
M,,,,
Man-Thing,,,,
Jim Hammond,,,,
The Captain,,,,
Moondragon,,,,
Sasquatch,,,,
U-Go Girl,,,,
Union Jack,,,,
Drax the Destroyer,,,,
Julia Carpenter,,,,
Watcher,,,,
Spider-Girl (Parker),,,,
Rocket Raccoon,,,,
Killraven,,,,
Lockheed,,,,
Ant-Man (Lang),,,,
Stingray,,,,
Cypher,,,,
Warriors Three,,,,
Phyla-Vell,,,,
Pete Wisdom,,,,
Siryn,,,,
Ares,,,,
Foggy Nelson,,,,
Medusa,,,,
Namorita,,,,
Hyperion,,,,
Xorn,,,,
Hellstorm,,,,
Hellcat,,,,
Sunfire,,,,
Jack Monroe,,,,
Guardian,,,,
Hellion,,,,
Franklin Richards,,,,
Echo,,,,
Thunderstrike,,,,
Heather McNeil Hudson,,,,
X-Man,,,,
Star-Lord,,,,
Slapstick,,,,
Jack of Hearts,,,,
Agent-X,,,,
U.S.Agent,,,,
Ben Urich,,,,
Forge,,,,
Iron Lad,,,,
Lockjaw,,,,
Major Victory,,,,
Rictor,,,,
Fantomex,,,,
Spitfire,,,,
Nighthawk,,,,
Nocturne,,,,
Cassie Lang,,,,
Gwen Stacy,,,,
Puck,,,,
Doctor Voodoo,,,,
Darkstar (Petrovna),,,,
Eternity,,,,
Clea,,,,
Elixir,,,,
Trauma,,,,
Doc Samson,,,,
Shatterstar,,,,
Mantis,,,,
Mockingbird,,,,
White Tiger,,,,
Yelena Belova,,,,
Paladin,,,,
Sharon Carter,,,,
Deathlok,,,,
"D Man (Garrett, Jr.)",,,,
Ronan,,,,
Black Goliath,,,,
Anole,,,,
Andreas von Strucker,,,,
Night Thrasher,,,,
Pixie,,,,
Sif,,,,
Colleen Wing,,,,
Corsair,,,,
Mercury,,,,
Husk,,,,
Wolverine,,,,
Spider-Man,,,,
Thor,,,,
Iron Man,,,,
Hulk,,,,
Captain America,,,,
Daredevil,,,,
Punisher,,,,
Deadpool,,,,
Silver Surfer,,,,
Gambit,,,,
Cyclops,,,,
Mr. Fantastic,,,,
Nightcrawler,,,,
Nick Fury,,,,
Human Torch,,,,
Iceman,,,,
Professor X,,,,
Colossus,,,,
Bucky Barnes,,,,
Doctor Strange,,,,
Storm,,,,
Jean Grey,,,,
Rogue,,,,
Elektra,,,,
Emma Frost,,,,
Thing,,,,
Black Bolt,,,,
She-Hulk,,,,
Invisible Woman,,,,
Namor,,,,
Black Panther,,,,
Beast,,,,
Kitty Pryde,,,,
Sentry,,,,
Hawkeye,,,,
Luke Cage,,,,
Iron Fist,,,,
Scarlet Witch,,,,
Cable,,,,
Hercules,,,,
X-23,,,,
Hank Pym,,,,
Moon Knight,,,,
Angel,,,,
Betsy Braddock,,,,
War Machine,,,,
Carol Danvers,,,,
Black Cat,,,,
Captain Marvel,,,,
Warpath,,,,
Madrox,,,,
Quicksilver,,,,
Spider-Woman,,,,
Domino,,,,
Vision,,,,
Black Widow,,,,
Blade,,,,
Speedball,,,,
Morph,,,,
Nova,,,,
Wasp,,,,
Wonder Man,,,,
Beta Ray Bill,,,,
Falcon,,,,
Tigra,,,,
Mimic,,,,
Captain Britain,,,,
Songbird,,,,
Quasar,,,,
Shang-Chi,,,,
Strong Guy,,,,
Ka-Zar,,,,
Havok,,,,
Rick Jones,,,,
Amadeus Cho,,,,
Dagger,,,,
Cloak,,,,
Adam Warlock,,,,
Molly Hayes,,,,
Jessica Jones,,,,
Howard the Duck,,,,
Squirrel Girl,,,,
Wiccan,,,,
Cannonball,,,,
Longshot,,,,
Magik,,,,
Jubilee,,,,
Hulkling,,,,
Machine Man,,,,
Black Knight,,,,
Northstar,,,,
Rachel Grey,,,,
Firestar,,,,
Layla Miller,,,,
Nico Minoru,,,,
Eric O'Grady,,,,
Ben Reilly,,,,
Spectrum,,,,
Batman,,,,
John Constantine,,,,
Rorschach,,,,
Superman,,,,
Wonder Woman,,,,
Barry Allen,,,,
Green Arrow,,,,
Hal Jordan,,,,
Aquaman,,,,
Swamp Thing,,,,
Nite Owl (Dreiberg),,,,
Black Canary,,,,
Zatanna,,,,
Billy Batson,,,,
Dick Grayson,,,,
Jonah Hex,,,,
Captain Atom,,,,
Barbara Gordon,,,,
Ted Kord,,,,
Kent V. Nelson,,,,
Booster Gold,,,,
Martian Manhunter,,,,
Midnighter,,,,
Etrigan,,,,
Wally West,,,,
Big Barda,,,,
Adam Strange,,,,
Grifter,,,,
Alan Scott,,,,
Ray Palmer,,,,
Silk Spectre,,,,
Dr. Manhattan,,,,
Animal Man,,,,
Blue Beetle (Reyes),,,,
Beast Boy,,,,
Al Pratt,,,,
Deadman,,,,
Cyborg,,,,
Black Lightning,,,,
Atom Smasher,,,,
Apollo,,,,
Blue Devil,,,,
Doctor Mid-Nite,,,,
Donna Troy,,,,
Firestorm,,,,
Tempest,,,,
Kon-El,,,,
Miss Martian,,,,
Guy Gardner,,,,
Hawkman,,,,
Hawkgirl,,,,
Hourman (Richard Tyler),,,,
Huntress (Bertinelli),,,,
Jay Garrick,,,,
John Stewart,,,,
Kyle Rayner,,,,
Metamorpho,,,,
Mr. Majestic,,,,
Mr. Miracle,,,,
Mr. Terrific,,,,
Spectre,,,,
Wesley Dodds,,,,
Phantom Stranger,,,,
Plastic Man,,,,
Power Girl,,,,
Ragman,,,,
Raven,,,,
Red Tornado,,,,
Renee Montoya,,,,
Question (Sage),,,,
Roy Harper,,,,
Stargirl,,,,
Static,,,,
Supergirl,,,,
Ted Knight,,,,
Terry Sloane,,,,
Tim Drake,,,,
Starfire,,,,
Hourman (Matthew Tyler),,,,
Wildcat,,,,
Hourman (Rex Tyler),,,,
Cyclone,,,,
Damage,,,,
Vixen,,,,
Crimson Avenger (Travis),,,,
Johnny Thunder,,,,
Jack Knight,,,,
Jakeem Thunder,,,,
Kate Spencer,,,,
Sandy Hawkins,,,,
Hank Hall,,,,
Don Hall,,,,
Jean-Paul Valley,,,,
Icon,,,,
Rocket,,,,
Fire,,,,
Ice,,,,
Elongated Man,,,,
Batwoman,,,,
Hal Jordan,,,,
Batman,,,,
Dick Grayson,,,,
Cyclone,,,,
Superman,,,,
Lex Luthor,,,,
Joker,,,,
Tim Drake,,,,
Damian Wayne,,,,
Kyle Rayner,,,,
Green Arrow,,,,
Ted Kord,,,,
Batwoman,,,,
Supergirl,,,,
Stargirl,,,,
Darkseid,,,,
Guy Gardner,,,,
Alfred Pennyworth,,,,
Wally West,,,,
Aquaman,,,,
Thom Kallor,,,,
Arisia,,,,
Kilowog,,,,
Saint Walker,,,,
Sinestro,,,,
Ragman,,,,
Jason Todd,,,,
Barbara Gordon,,,,
John Stewart,,,,
Barry Allen,,,,
Power Girl,,,,
Wonder Woman,,,,
Deathstroke,,,,
Lois Lane,,,,
Booster Gold,,,,
Elongated Man,,,,
Maxwell Lord,,,,
Kon-El,,,,
Krypto,,,,
Ganthet,,,,
James Gordon,,,,
Etrigan,,,,
Two-Face,,,,
Stephanie Brown,,,,
Catman,,,,
Harvey Bullock,,,,
Jimmy Olsen,,,,
Scarecrow,,,,
Carol Ferris,,,,
Sue Dibny,,,,
Ra's al Ghul,,,,
Ice,,,,
Blue Beetle (Reyes),,,,
Ventriloquist (Wesker),,,,
Black Adam,,,,
Miss Martian,,,,
Larfleeze,,,,
Detective Chimp,,,,
Alan Scott,,,,
Phantom Girl,,,,
Zatanna,,,,
Atrocitus,,,,
Mr. Mxyzptlk,,,,
Harley Quinn,,,,
Gypsy,,,,
Kate Spencer,,,,
Black Canary,,,,
Poison Ivy,,,,
Knockout,,,,
Renee Montoya,,,,
Scandal Savage,,,,
Bane,,,,
Fire,,,,
Bizarro,,,,
Billy Batson,,,,
Amanda Waller,,,,
Jeannette,,,,
Talia al Ghul,,,,
Huntress (Bertinelli),,,,
Deadshot,,,,
Phantom Stranger,,,,
Martian Manhunter,,,,
Mr. Freeze,,,,
Superboy Prime,,,,
Ragdoll,,,,
Dream Girl,,,,
Mera,,,,
Starfire,,,,
Catwoman,,,,
Penguin,,,,
Steel,,,,
Bart Allen,,,,
Deadman,,,,
Jade,,,,
Ray Palmer,,,,
Wonder Girl,,,,
Jay Garrick,,,,
Static,,,,
Beast Boy,,,,
Killer Croc,,,,
Mickey Mouse,,,,
Betty Boop,,,,
Bart Simpson,,,,
SpongeBob SquarePants,,,,
Steven Universe,,,,
Homer Simpson,,,,
Scooby-Doo,,,,
Fred Flintstone,,,,
Snoopy,,,,
Charlie Brown,,,,
Bugs Bunny,,,,
Felix the Cat,,,,
Jerry the Mouse,,,,
Garfield,,,,
Popeye,,,,
Yogi Bear,,,,
Bender,,,,
Stewie Griffin,,,,
Rosie the Robot,,,,
Arthur Read,,,,
Rick Sanchez,,,,
Eric Cartman,,,,
Dora the Explorer,,,,
Space Ghost,,,,
Roger Rabbit,,,,
Pikachu,,,,
She-Ra,,,,
Foghorn Leghorn,,,,
Chicken Boo,,,,
Curious George,,,,
Smurfette,,,,
Haruka,,,,
Brad Boimler,,,,
Retsuko (Aggretsuko),,,,
Rainbow Dash,,,,
Ms. Frizzle,,,,
Inspector Gadget,,,,
Jake the Dog,,,,
Strong Bad,,,,
Donald Duck,,,,
Darkwing Duck,,,,
Bubbles,,,,
Star Butterfly,,,,
Porky Pig,,,,
Strawberry Shortcake,,,,
Bobby Hill,,,,
Squidward Tentacles,,,,
Jem,,,,
Simon Seville,,,,
Pinky,,,,
Stitch,,,,
Bill Cipher,,,,
Courage the Cowardly Dog,,,,
Raven,,,,
Dot Warner,,,,
Louise Belcher,,,,
Dexter,,,,
Perry the Platypus,,,,
Speed Racer,,,,
The Pink Panther,,,,
Mickey Mouse,,,,
Homer Simpson,,,,
Charlie Brown,,,,
Fred Flintstone,,,,
Tom & Jerry,,,,
Scooby-Doo,,,,
Sponge Bob Square Pants,,,,
Winnie- The Pooh,,,,
Donald Duck,,,,
Alvin the Chipmunk,,,,
Popeye- The Sailor man,,,,
Daffy Duck,,,,
Superman,,,,
Power puff Girls,,,,
Dora- The Explorer,,,,
Doraemon,,,,
Barbie,,,,
Cindrella,,,,
Snoopy,,,,
Krishna and Balram,,,,
Goofy,,,,
Sylvester,,,,
Batman,,,,
Shrek,,,,
Pikachu,,,,
Snow White,,,,
Oswald,,,,
Bob-The Builder,,,,
Spiderman,,,,
Woody Woodpecker,,,,
Courage- The Cowardly Dog,,,,
Dexter,,,,
Iron Man,,,,
Richie Rich,,,,
Noddy,,,,
Krypto,,,,
Eric Cartman,,,,
Lola Bunny,,,,
Mojo-Jojo,,,,
Wonder Woman,,,,
Tarzan,,,,
Ben,,,,
Shaktiman,,,,
Tin-Tin,,,,
Thomas,,,,
Bean,,,,
Tyson,,,,
Ariel- The Mermaid,,,,
Ninja Hotori,,,,
Pingu,,,,
Johny Bravo,,,,
Chotta Bheem,,,,
Elsa,,,,
Aladdin,,,,
Nemo,,,,
